task_id,task_type,start_time,target_id,robot_id,priority,cur_status,dependency,finish_time,description
180,ExecuteTask,"2020-06-01 11:28:13",25,NULL,2,Created,0,NULL,NULL
181,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 11:31:07",Succeeded
182,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 11:31:06",Succeeded
183,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 11:31:07",Succeeded
184,ExecuteTask,"2020-06-01 11:31:52",21,2,2,RanToCompletion,0,"2020-06-01 11:33:38",Succeeded
185,ExecuteTask,"2020-06-01 11:32:37",22,3,2,RanToCompletion,0,"2020-06-01 11:33:26",Succeeded
186,ExecuteTask,"2020-06-01 11:33:22",23,1,2,RanToCompletion,0,"2020-06-01 11:36:10",Succeeded
187,ExecuteTask,"2020-06-01 11:34:07",24,3,2,RanToCompletion,0,"2020-06-01 11:36:24",Succeeded
188,ExecuteTask,"2020-06-01 11:34:52",25,2,2,RanToCompletion,0,"2020-06-01 11:37:11",Succeeded
189,ExecuteTask,"2020-06-01 11:35:37",26,NULL,2,Created,0,NULL,NULL
190,ExecuteTask,"2020-06-01 11:36:22",27,1,2,RanToCompletion,0,"2020-06-01 11:39:29",Succeeded
191,ExecuteTask,"2020-06-01 11:37:07",28,3,2,RanToCompletion,0,"2020-06-01 11:39:02",Succeeded
192,ExecuteTask,"2020-06-01 11:37:52",29,2,2,RanToCompletion,0,"2020-06-01 11:39:59",Succeeded
193,ExecuteTask,"2020-06-01 11:38:37",30,NULL,2,Created,0,NULL,NULL
194,ExecuteTask,"2020-06-01 11:39:22",21,3,2,RanToCompletion,0,"2020-06-01 11:42:21",Succeeded
195,ExecuteTask,"2020-06-01 11:40:07",22,1,2,RanToCompletion,0,"2020-06-01 11:43:10",Succeeded
196,ExecuteTask,"2020-06-01 11:40:52",23,2,2,RanToCompletion,0,"2020-06-01 11:43:33",Succeeded
197,ExecuteTask,"2020-06-01 11:41:37",24,NULL,2,Created,0,NULL,NULL
198,ExecuteTask,"2020-06-01 11:42:22",25,NULL,2,Created,0,NULL,NULL
199,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 11:45:40",Succeeded
200,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 11:45:40",Succeeded
201,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 11:45:40",Succeeded
202,ExecuteTask,"2020-06-01 11:46:25",21,3,2,RanToCompletion,0,"2020-06-01 11:47:24",Succeeded
